Coutnry_short,countrycode,Region,Unifed_party_code,Q10_PTV,Q13_left_right ,Q24_EU,Party_name_questionnaire,English name,Q7_EES,Q7,Q7n,Q2,Q2_EES,Q2n,Q9_Q25_EES,Q9,Q9n,q25,Q25n
FR,1250,,,,,,"La liste pour le Frexit, menée par François Asselineau",Popular Republican Union,20,1109,20,,,,20,,20,1118,20
FR,1250,,,,,,"La Liste Alliance jaune, menée par Francis Lalanne",Yellow alliance,20,1112,20,,,,,,,,
FR,1250,,,,,,Parti radical de gauche,Left Radical Party,,,,,,,20,1105,,,
FR,1250,,,,,,Divers gauche,Miscellaneous Left,,,,,,,20,1106,,,
FR,1250,,,,,,MoDem,Democratic Movement,,,,,,,20,1109,20,1114,20
FR,1250,,,,,,Union des Démocrates et Indépendants (UDI),Union of Democrats and Independents – UDI,,,,,,,1250336,1110,20,1115,20
FR,1250,,,,,,Divers droite,Miscellaneous Right,,,,,,,20,1112,,,
FR,1250,,,,,,Régionalistes,Regionalists,,,,,,,20,1114,,,
FR,1250,,,,,,Nouveau parti anticapitaliste (NPA),New Anticapitalist Party,,,,,,,1250233,,20,1110,20
FR,1250,,,,,,Place publique,Public place,,,,,,,20,,20,1112,20
FR,1250,,,,,,Nouvelle donne,New Deal ,,,,,,,20,,20,1113,20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GR,1300,,1,Q10_1,Q13_1,Q24_1,??????????? ????????????? ????????? (??????),Coalition of the Radical Left,1300215,1201,1,1201,1300215,1,1300215,1201,1,1202,1
GR,1300,,2,Q10_2,Q13_2,Q24_2,??? ?????????? (??),New Democracy,1300511,1202,2,1202,1300511,2,1300511,1202,2,1203,2
GR,1300,,3,Q10_3,Q13_3,Q24_3,????? ???? (??),Golden Dawn,1300710,1203,3,1203,1300710,3,1300710,1203,3,1204,3
GR,1300,,4,Q10_4,Q13_4,Q24_4,?????? ??????? (?????),Panhellenic Socialist Movement/ Movement for Change,1300314,1204,4,1204,1300314,4,1300314,1204,4,1205,4
GR,1300,,5,Q10_5,Q13_5,Q24_5,????????????? ????? ??????? (???),Communist Party of Greece,1300210,1205,5,1205,1300210,5,1300210,1205,5,1206,5
GR,1300,,6,Q10_6,Q13_6,Q24_6,?? ??????,The River (Greece),1300323,1206,6,1206,1300323,6,1300323,1206,6,1207,6
