respid	cps21_province	cps21_weight_general_restricted	ban_abortion	age	female	urban	religion	education
"R_10Ou4iS6gO84H1s"	"British Columbia"	.7188306		69	1		"Not important at all"	"College"
"R_10Oy6iQDlti9WB6"	"Manitoba"	.494498		56	0		"Not very important"	"MA+"
"R_10OzFarjNH5RRJP"	"Quebec"	.4261902	0	68	1	1	"Somewhat important"	"College"
"R_10PFeyDxoQc1kol"	"Ontario"	.4029644		73	0		"Very important"	"MA+"
"R_10PKVzfVFrFwU8J"	"Ontario"	.4029644	0	69	0	1	"Not very important"	"Some PS"
"R_10PdnpdemehpGE9"	"Ontario"	1.021052	0	60	1	1	"Not very important"	"Some PS"
"R_10PiROy1piNJi6W"	"Ontario"	.6261567		54	0			"BA"
"R_10PqsbgvKlYhoet"	"Quebec"	1.150966	1	67	0	1	"Not very important"	"HS"
"R_10SDQqzAvvP1N0V"	"Quebec"	.5260664		28	1			"BA"
"R_10SGvWjUi4MfQL9"	"Quebec"	.6622466	1	63	1	1	"Somewhat important"	"College"
"R_10SMD1vioX9yseX"	"Ontario"	.8471103	0	41	0	1	"Somewhat important"	"MA+"
"R_10TA7nYIMgZ1jGg"	"British Columbia"	1.841344	0	23	1	1	"Not important at all"	"College"
"R_10TRvLEdaLpYvAq"	"Ontario"	.8471103	0	45	0	1	"Somewhat important"	"BA"
"R_10TXEuhkuCfOtIZ"	"Ontario"	.4920129	0	52	1	1		"MA+"
"R_10Ta42AMf5nF1U8"	"Ontario"	.4029644	1	74	0	1	"Very important"	"MA+"
"R_10TmZvbZPMNzyPc"	"Ontario"	.6571001	0	65	1	1	"Somewhat important"	"Some PS"
"R_10To3AedLssEseY"	"Quebec"	.9043904	0	77	1	1		"HS"
"R_10UfnS3yYRF4SpC"	"Ontario"	.6571001	0	73	1	1	"Somewhat important"	"Some PS"
"R_10UhWNzt76ed4QI"	"Ontario"	.8110893		34	1		"Somewhat important"	"BA"
"R_10V5rCDmBZpxlFn"	"Ontario"	.8110893	0	26	1	1		"BA"
"R_10VPxwygmqCSVR1"	"Alberta"	1.140332		38	1			"Some PS"
"R_10VmjEx7KhmQui5"	"Quebec"	.6694947	0	31	0	0		"BA"
"R_10VoyWEmhwA6Axv"	"Ontario"	.6261567		53	0			"BA"
"R_10VsMfsPxvV59Gr"	"Ontario"	.8110893	0	25	1	1	"Not very important"	"MA+"
"R_10YNkOFOcV1r8Ot"	"Quebec"	.3191158		52	1		"Not very important"	"BA"
"R_10Yrqsw7bfpgxhc"	"Ontario"	2.142134	1	34	0	0	"Very important"	"College"
"R_10YuG48PZBKUmZb"	"Ontario"	1.394389	0	66	1	0	"Not very important"	"HS"
"R_10ZOKMRJcQr6gXc"	"British Columbia"	.6849803	0	53	0	0	"Not important at all"	"BA"
"R_10ZpSsbMUuLkbKK"	"Ontario"	.3166359		73	1			"BA"
"R_10ZswyqoN2WaYOl"	"Newfoundland and Labrador"	.5081893	0	65	0	1		"MA+"
"R_10o9D3zYVfuWKp9"	"Newfoundland and Labrador"	3.696715	0	42	1	0		"HS"
